category,sleeveType,premium,costPrice,price
cardigan,Manga longa,no,33,40
blusa,Manga 3/4,yes,35,41
vestido colado longo,Manga curta,yes,37,50
vestido jeans colado curto,Manga curta,no,27,32
vestido jeans colado medio,Manga longa,no,40,41
sueter,Manga longa,no,23,35
vestido colado longo,regata,no,39,50
vestido jeans solto longo,Uma manga só,no,26,40
cardigan,Manga longa,no,24,35
sueter,Manga longa,no,34,40
calça jeans,unknown,yes,38,50
calça jeans mom,unknown,no,42,51
calça jeans mom,unknown,yes,41,50
vestido jeans solto longo,regata,yes,22,40
t-shirt,unknown,no,18,23
blusa,regata,no,29,30
macacao longo,Manga 3/4,no,16,35
sueter,Manga longa,no,19,34
short,unknown,yes,27,38
short,unknown,yes,17,34
vestido jeans solto curto,Uma manga só,no,29,34
cropped,Manga longa,yes,27,32
vestido jeans solto medio,regata,no,21,26
vestido jeans solto curto,Manga 3/4,yes,31,41
saia,unknown,no,19,30
saia,unknown,no,25,32
short,unknown,no,31,33
calça wide leg,unknown,yes,18,33
short,unknown,yes,31,36
saia jeans,unknown,no,31,40
cardigan,Manga longa,no,25,35
blusa,regata,no,27,29
vestido jeans colado curto,regata,no,38,40
short,unknown,no,25,32
sueter,Manga longa,no,20,35
calça jeans mom,unknown,no,32,51
short,unknown,no,34,36
vestido jeans solto curto,regata,no,47,47
vestido jeans solto longo,Manga 3/4,no,37,48
saia,unknown,no,18,30
calça jeans aladin,unknown,yes,40,50
cropped,Manga longa,no,31,32
vestido jeans colado curto,Manga curta,no,37,39
calça skinny,unknown,no,39,41
vestido solto longo,Manga 3/4,yes,35,50
vestido jeans colado medio,Uma manga só,no,15,20
t-shirt,unknown,no,33,35
sueter,Manga longa,no,36,41
vestido solto curto,Uma manga só,no,26,31
macaquinho,Manga 3/4,no,15,30
short,unknown,no,36,38
vestido jeans solto longo,regata,yes,32,49
calça jeans wide leg,unknown,yes,15,50
calça jeans wide leg,unknown,no,16,45
cropped,Manga 3/4,no,21,25
calça,unknown,yes,19,35
short jeans,unknown,no,36,41
calça jeans mom,unknown,yes,42,50
calça jeans skinny,unknown,no,33,50
blazer,Manga longa,no,32,42
calça jeans skinny,unknown,yes,43,50
saia jeans,unknown,yes,37,45
calça skinny,unknown,yes,38,46
short,unknown,no,19,30
sueter,Manga longa,no,29,39
vestido solto longo,Manga longa,no,30,45
blusa,Manga longa,no,22,26
cropped,Uma manga só,no,11,20
vestido jeans solto medio,regata,no,35,37
calça,unknown,no,36,39
calça aladin,unknown,yes,37,43
t-shirt,unknown,yes,35,40
sueter,Manga longa,no,37,41
vestido solto medio,Manga longa,no,26,31
cropped,regata,no,45,46
calça jeans wide leg,unknown,no,15,45
calça skinny,unknown,no,39,41
short jeans,unknown,no,16,30
vestido colado medio,Uma manga só,yes,20,29
vestido jeans solto curto,regata,yes,27,37
jaqueta,Manga longa,no,30,40
vestido jeans colado curto,Uma manga só,yes,27,37
calça mom,unknown,no,15,30
short,unknown,no,27,32
macaquinho,Manga curta,no,23,34
vestido jeans colado curto,Manga longa,no,39,40
macacao longo,Manga longa,yes,29,43
short,unknown,no,23,31
calça jeans skinny,unknown,no,21,45
vestido jeans colado medio,Manga 3/4,no,25,30
calça jeans,unknown,no,41,50
vestido colado curto,Manga 3/4,no,35,37
sueter,Manga longa,no,35,40
vestido jeans solto medio,Uma manga só,no,26,31
t-shirt,unknown,no,27,29
cropped,Manga curta,no,32,33
calça jeans skinny,unknown,no,15,45
blazer,Manga longa,no,36,46
vestido jeans solto longo,Uma manga só,no,21,36
vestido colado longo,Uma manga só,no,23,39
calça aladin,unknown,no,37,40
calça jeans,unknown,no,17,45
vestido jeans solto curto,Manga 3/4,no,18,23
calça jeans,unknown,no,16,45
cardigan,Manga longa,yes,26,38
calça wide leg,unknown,no,40,41
t-shirt,unknown,no,15,20
vestido jeans solto medio,Uma manga só,no,37,39
saia jeans,unknown,yes,38,46
vestido solto curto,Manga curta,no,50,50
blusa,Uma manga só,yes,26,31
vestido jeans colado medio,Uma manga só,no,32,36
saia jeans,unknown,no,26,36
saia,unknown,yes,22,33
sueter,Manga longa,no,25,36
short jeans,unknown,no,31,40
short,unknown,yes,38,43
vestido jeans colado medio,Manga 3/4,yes,27,37
calça jeans mom,unknown,no,18,45
macacao longo,Manga longa,no,38,48
calça mom,unknown,yes,23,36
saia,unknown,no,30,32
saia jeans,unknown,yes,34,43
blazer,Manga longa,yes,23,43
vestido jeans colado curto,Manga curta,no,16,21
calça mom,unknown,yes,16,33
saia,unknown,yes,34,40
short,unknown,yes,28,37
calça jeans skinny,unknown,no,19,45
saia jeans,unknown,yes,19,34
vestido jeans colado curto,Manga longa,yes,38,44
vestido jeans colado curto,regata,no,36,38
blusa,Manga 3/4,no,16,21
vestido colado longo,Manga longa,yes,33,50
calça jeans mom,unknown,no,22,45
cropped,Manga 3/4,no,27,29
vestido jeans colado medio,Manga longa,yes,23,33
calça,unknown,yes,33,41
vestido colado longo,Manga 3/4,yes,28,47
calça jeans aladin,unknown,yes,23,49
vestido colado medio,Manga longa,no,22,27
vestido jeans solto longo,Uma manga só,no,16,31
short jeans,unknown,yes,39,48
t-shirt,unknown,no,48,48
calça jeans aladin,unknown,no,31,50
calça mom,unknown,yes,16,34
calça wide leg,unknown,no,40,43
macaquinho,Uma manga só,no,34,40
macacao longo,Manga curta,no,25,40
jaqueta,Manga longa,no,34,44
saia jeans,unknown,yes,22,37
calça mom,unknown,no,17,30
vestido solto longo,Uma manga só,no,22,37
vestido jeans colado curto,Uma manga só,no,18,23
vestido jeans solto longo,Manga 3/4,yes,30,50
blusa,Manga longa,no,28,30
short,unknown,yes,43,44
saia,unknown,no,24,32
vestido jeans colado medio,Manga 3/4,no,40,41
sueter,Manga longa,no,36,40
cardigan,Manga longa,no,25,35
vestido solto longo,Uma manga só,no,31,45
saia,unknown,no,26,32
blazer,Manga longa,yes,31,44
calça,unknown,no,30,35
vestido jeans colado curto,Manga curta,no,17,22
vestido solto medio,Manga longa,no,17,21
short,unknown,no,29,33
calça mom,unknown,no,36,39
saia jeans,unknown,no,32,40
saia,unknown,no,20,30
jaqueta,Manga longa,yes,32,46
vestido jeans solto curto,Uma manga só,no,20,25
vestido colado longo,Manga curta,no,22,37
calça jeans aladin,unknown,no,18,45
vestido solto longo,Manga longa,yes,30,48
calça jeans mom,unknown,no,45,50
calça wide leg,unknown,no,22,32
t-shirt,unknown,yes,35,40
calça jeans aladin,unknown,no,42,50
blusa,Uma manga só,no,33,34
vestido jeans solto longo,Manga curta,no,38,49
blusa,Uma manga só,yes,33,38
vestido colado longo,regata,no,21,36
short jeans,unknown,no,22,32
vestido colado medio,Manga curta,yes,38,44
macacao longo,regata,yes,31,47
cropped,Manga 3/4,no,31,31
vestido jeans solto medio,regata,no,25,30
vestido colado longo,Uma manga só,no,21,36
calça aladin,unknown,no,43,44
macacao longo,Uma manga só,yes,15,40
blazer,Manga longa,yes,19,38
vestido jeans colado medio,Manga 3/4,no,30,35
calça,unknown,no,26,36
saia,unknown,yes,38,44
saia,unknown,yes,21,33
vestido colado longo,Manga longa,no,36,48
vestido jeans colado medio,regata,no,31,35
vestido solto longo,Uma manga só,no,39,50
calça aladin,unknown,yes,34,41
leggings,unknown,no,37,40
calça mom,unknown,no,28,36
short jeans,unknown,no,34,40
blusa,Uma manga só,no,32,33
vestido jeans solto medio,regata,yes,24,32
short jeans,unknown,no,18,31
cropped,regata,no,23,27
macaquinho,Manga 3/4,no,34,40
vestido colado medio,Manga curta,yes,39,44
saia jeans,unknown,yes,16,34
blusa,Uma manga só,yes,25,30
calça jeans aladin,unknown,no,23,45
vestido jeans solto medio,Manga curta,no,21,26
vestido jeans colado curto,Manga curta,yes,16,24
cardigan,Manga longa,no,19,35
macacao longo,Manga 3/4,no,19,36
blazer,Manga longa,no,38,48
saia,unknown,yes,29,36
short,unknown,no,39,41
macacao longo,Manga 3/4,yes,36,50
short jeans,unknown,yes,27,43
macacao longo,Manga curta,no,30,40
vestido solto medio,regata,yes,24,33
vestido jeans solto medio,Uma manga só,yes,15,25
t-shirt,unknown,no,23,27
calça jeans,unknown,no,38,49
saia jeans,unknown,no,39,44
short,unknown,no,31,33
sueter,Manga longa,no,31,40
macaquinho,Manga 3/4,yes,32,45
vestido jeans solto longo,Manga curta,no,19,34
macaquinho,Uma manga só,yes,34,45
calça jeans wide leg,unknown,no,29,49
vestido jeans colado medio,Manga curta,no,39,40
cardigan,Manga longa,yes,18,37
t-shirt,unknown,no,34,36
vestido colado medio,Uma manga só,no,38,39
macacao longo,Manga curta,no,39,49
calça jeans,unknown,no,42,50
blazer,Manga longa,no,16,35
vestido jeans solto longo,regata,no,19,34
vestido colado longo,Manga curta,no,25,40
vestido jeans colado medio,Manga curta,no,21,26
vestido jeans solto curto,regata,no,34,37
calça wide leg,unknown,yes,25,38
saia jeans,unknown,no,35,40
sueter,Manga longa,no,27,37
blazer,Manga longa,yes,20,41
calça jeans aladin,unknown,yes,34,50
calça jeans,unknown,no,18,45
blusa,Uma manga só,yes,15,25
blusa,regata,no,19,24
calça jeans aladin,unknown,yes,17,47
t-shirt,unknown,no,19,24
calça skinny,unknown,yes,27,37
t-shirt,unknown,yes,32,36
macaquinho,Uma manga só,no,28,38
leggings,unknown,yes,37,45
calça jeans wide leg,unknown,yes,40,50
macaquinho,regata,no,34,40
saia jeans,unknown,no,28,38
vestido jeans colado medio,Manga curta,no,36,38
short jeans,unknown,no,34,40
blazer,Manga longa,no,30,40
vestido solto medio,Manga 3/4,no,28,33
short jeans,unknown,yes,28,44
vestido solto curto,Manga longa,no,24,29
calça jeans mom,unknown,yes,28,50
macaquinho,regata,yes,31,44
calça jeans skinny,unknown,no,23,45
vestido solto curto,Manga 3/4,no,25,30
calça jeans mom,unknown,no,17,45
vestido jeans solto longo,Manga curta,no,20,35
sueter,Manga longa,no,27,37
leggings,unknown,no,19,30
calça jeans skinny,unknown,yes,30,50
calça wide leg,unknown,yes,34,41
blazer,Manga longa,yes,16,40
macacao longo,regata,yes,35,48
calça jeans aladin,unknown,yes,31,50
vestido jeans solto medio,Uma manga só,yes,29,38
calça jeans,unknown,no,45,50
macacao longo,Manga longa,yes,20,39
jaqueta,Manga longa,no,21,36
saia,unknown,no,38,40
macaquinho,Manga longa,yes,21,38
vestido colado longo,Manga longa,no,27,42
jaqueta,Manga longa,no,37,47
calça jeans skinny,unknown,no,29,49
saia jeans,unknown,no,16,30
cardigan,Manga longa,no,24,34
vestido colado curto,Manga 3/4,no,37,39
calça jeans skinny,unknown,no,44,50
cropped,Manga longa,yes,20,29
blusa,Manga longa,yes,23,32
short jeans,unknown,yes,16,34
short jeans,unknown,yes,30,45
blusa,Manga longa,no,21,25
jaqueta,Manga longa,no,37,47
calça mom,unknown,no,18,30
vestido jeans colado curto,regata,no,34,36
short,unknown,yes,17,34
short jeans,unknown,no,18,30
blazer,Manga longa,no,25,40
blazer,Manga longa,no,21,36
leggings,unknown,yes,36,43
short,unknown,no,38,40
sueter,Manga longa,no,16,30
short jeans,unknown,yes,31,44
vestido colado longo,Manga curta,no,20,35
cropped,Manga curta,no,28,30
vestido solto medio,Uma manga só,no,34,37
cropped,Manga longa,no,31,32
sueter,Manga longa,yes,29,44
short,unknown,no,38,40
saia jeans,unknown,yes,16,34
jaqueta,Manga longa,no,22,37
calça,unknown,no,20,30
macaquinho,Manga curta,yes,15,33
vestido jeans solto longo,Manga longa,no,36,48
vestido colado longo,Uma manga só,no,31,46
calça jeans aladin,unknown,yes,23,48
sueter,Manga longa,no,16,31
calça jeans mom,unknown,yes,42,50
blazer,Manga longa,no,40,50
saia jeans,unknown,no,21,31
t-shirt,unknown,no,16,21
saia jeans,unknown,no,31,40
saia,unknown,no,18,30
calça mom,unknown,yes,23,37
saia,unknown,no,27,32
vestido jeans colado curto,Manga longa,no,19,24
vestido jeans colado medio,Manga longa,no,49,49
blusa,regata,no,20,25
vestido jeans solto curto,regata,no,29,34
saia,unknown,yes,33,38
vestido jeans solto longo,Manga 3/4,no,32,45
vestido jeans colado curto,Manga longa,no,36,38
saia jeans,unknown,no,19,30
sueter,Manga longa,no,46,46
calça jeans aladin,unknown,yes,31,50
vestido jeans solto medio,Manga 3/4,no,32,36
vestido jeans colado medio,Uma manga só,no,35,37
vestido jeans colado medio,regata,no,33,36
short jeans,unknown,no,33,40
vestido jeans solto curto,Manga 3/4,no,17,22
cropped,regata,no,26,28
saia jeans,unknown,yes,40,49
vestido jeans colado medio,Uma manga só,no,33,36
vestido solto medio,regata,no,26,31
saia jeans,unknown,no,23,33
sueter,Manga longa,no,16,31
cropped,Manga 3/4,no,32,33
vestido jeans colado curto,Uma manga só,no,26,31
vestido jeans colado medio,regata,no,38,40
vestido solto medio,Manga 3/4,yes,37,41
vestido jeans colado medio,regata,no,21,26
jaqueta,Manga longa,yes,38,50
vestido jeans solto longo,Manga longa,no,29,44
macacao longo,regata,no,30,40
vestido jeans solto curto,Manga curta,no,25,30
calça jeans skinny,unknown,no,36,50
short,unknown,yes,22,36
cropped,Manga curta,no,30,32
vestido jeans solto longo,Uma manga só,no,27,42
blazer,Manga longa,no,24,39
short,unknown,no,23,31
calça jeans mom,unknown,yes,45,50
cardigan,Manga longa,no,36,40
calça jeans aladin,unknown,no,23,45
t-shirt,unknown,yes,16,24
t-shirt,unknown,no,14,20
macaquinho,Uma manga só,no,39,42
calça jeans,unknown,yes,20,48
vestido jeans solto medio,Uma manga só,no,18,23
vestido colado longo,Manga 3/4,yes,37,50
sueter,Manga longa,yes,27,40
calça,unknown,no,36,39
vestido jeans colado curto,Uma manga só,no,39,40
short,unknown,no,30,32
short jeans,unknown,no,40,45
sueter,Manga longa,no,27,37
short jeans,unknown,no,38,42
calça,unknown,no,28,35
short,unknown,no,18,30
vestido jeans colado curto,regata,yes,27,36
calça jeans,unknown,no,20,46
short,unknown,no,37,39
short,unknown,no,21,31
vestido jeans colado curto,Manga 3/4,yes,24,35
sueter,Manga longa,no,39,42
saia,unknown,no,25,32
jaqueta,Manga longa,no,15,35
vestido jeans colado curto,Manga 3/4,yes,16,25
saia jeans,unknown,yes,23,38
t-shirt,unknown,no,31,32
vestido jeans solto longo,Uma manga só,no,21,36
vestido jeans colado medio,regata,no,27,31
vestido colado medio,regata,yes,20,28
short,unknown,yes,31,36
calça jeans wide leg,unknown,no,33,50
blusa,Uma manga só,no,29,30
vestido colado longo,Uma manga só,no,24,39
vestido jeans solto curto,Manga 3/4,yes,39,44
blusa,regata,no,31,32
saia,unknown,yes,25,35
vestido solto longo,regata,no,21,36
macacao longo,Manga 3/4,no,32,43
vestido colado medio,Manga curta,no,28,33
jaqueta,Manga longa,no,35,44
calça,unknown,no,23,33
vestido solto longo,Manga longa,no,19,34
calça skinny,unknown,no,15,30
vestido jeans solto curto,Manga curta,yes,38,45
macaquinho,Manga curta,yes,35,45
vestido jeans colado medio,Manga longa,yes,27,36
vestido colado longo,regata,no,32,46
t-shirt,unknown,yes,34,40
calça mom,unknown,no,39,42
vestido jeans colado medio,Uma manga só,no,29,34
vestido colado longo,Manga longa,no,24,39
calça jeans mom,unknown,yes,35,50
calça,unknown,no,15,30
sueter,Manga longa,no,24,35
calça jeans mom,unknown,no,31,50
blazer,Manga longa,no,37,47
short,unknown,yes,28,37
cardigan,Manga longa,no,24,35
vestido jeans colado medio,Manga 3/4,no,26,31
calça skinny,unknown,no,40,41
calça jeans skinny,unknown,no,44,50
vestido solto curto,Uma manga só,yes,33,40
calça jeans mom,unknown,no,27,47
vestido colado longo,Manga 3/4,yes,33,50
blusa,Manga 3/4,no,35,36
vestido solto longo,Manga 3/4,yes,23,43
macaquinho,Uma manga só,yes,36,45
vestido solto longo,Manga longa,yes,37,50
blazer,Manga longa,yes,29,45
saia,unknown,yes,30,37
macaquinho,regata,no,36,40
blusa,Manga 3/4,no,11,20
t-shirt,unknown,no,22,26
cardigan,Manga longa,no,20,35
blusa,regata,no,24,27
vestido jeans colado medio,Uma manga só,yes,33,41
vestido solto curto,Uma manga só,no,19,24
cardigan,Manga longa,yes,21,38
saia,unknown,yes,39,46
vestido solto longo,regata,yes,21,40
calça wide leg,unknown,no,36,39
vestido jeans colado curto,regata,no,18,23
cropped,regata,no,16,22
vestido jeans solto longo,Manga curta,no,44,45
macacao longo,Uma manga só,no,33,43
saia,unknown,no,37,39
calça jeans,unknown,no,25,45
calça mom,unknown,no,18,30
calça skinny,unknown,no,16,30
vestido jeans colado medio,Uma manga só,no,24,30
vestido jeans colado medio,regata,no,30,35
blazer,Manga longa,no,18,35
calça jeans,unknown,no,44,50
vestido colado curto,Manga 3/4,yes,32,40
macacao longo,Uma manga só,no,38,48
vestido jeans colado medio,Uma manga só,yes,32,39
calça aladin,unknown,yes,27,39
vestido jeans solto medio,Manga curta,no,24,29
calça jeans,unknown,no,23,45
saia,unknown,no,30,32
saia jeans,unknown,no,22,32
cardigan,Manga longa,yes,34,45
jaqueta,Manga longa,no,17,35
saia jeans,unknown,no,17,30
vestido jeans colado medio,Manga longa,no,28,33
blazer,Manga longa,no,18,35
vestido jeans solto medio,Manga longa,yes,26,36
vestido colado longo,Manga 3/4,no,17,32
blazer,Manga longa,no,35,45
calça jeans wide leg,unknown,yes,38,50
vestido colado medio,Uma manga só,no,40,41
vestido solto longo,regata,no,25,40
saia,unknown,yes,36,44
vestido colado longo,Uma manga só,no,22,37
calça jeans,unknown,yes,41,50
calça mom,unknown,yes,37,44
saia,unknown,no,23,31
calça aladin,unknown,no,22,32
blusa,Manga 3/4,no,31,32
vestido colado longo,regata,no,30,44
t-shirt,unknown,no,35,36
short jeans,unknown,no,28,39
leggings,unknown,no,25,35
leggings,unknown,no,33,37
macacao longo,Manga longa,no,23,38
jaqueta,Manga longa,no,27,40
calça aladin,unknown,no,37,40
saia jeans,unknown,no,32,40
calça jeans mom,unknown,no,35,49
calça mom,unknown,yes,32,41
macacao longo,regata,yes,26,45
vestido solto medio,regata,no,20,25
calça jeans aladin,unknown,no,24,46
vestido jeans solto longo,Uma manga só,yes,18,38
vestido jeans colado curto,Manga 3/4,no,22,27
calça,unknown,no,18,30
blazer,Manga longa,no,22,36
calça jeans,unknown,no,30,50
short jeans,unknown,no,40,45
short,unknown,no,26,32
blusa,regata,yes,13,23
cardigan,Manga longa,yes,39,47
vestido jeans colado medio,regata,yes,40,46
short jeans,unknown,yes,21,35
short,unknown,no,31,34
vestido jeans solto longo,Manga longa,no,16,31
vestido jeans solto curto,Manga longa,yes,46,48
cropped,regata,yes,12,24
calça aladin,unknown,no,39,41
calça jeans skinny,unknown,yes,41,50
vestido solto longo,regata,no,36,48
blazer,Manga longa,no,30,40
short jeans,unknown,no,26,36
calça jeans wide leg,unknown,no,33,51
macaquinho,Manga curta,no,38,42
calça jeans aladin,unknown,no,23,45
calça jeans,unknown,no,19,44
jaqueta,Manga longa,no,15,35
vestido jeans solto curto,Manga curta,no,26,31
jaqueta,Manga longa,no,15,35
saia,unknown,yes,44,45
short jeans,unknown,yes,38,47
vestido solto longo,Manga longa,no,29,44
cropped,Manga curta,no,29,30
blusa,Manga 3/4,no,28,30
calça jeans aladin,unknown,no,30,50
vestido colado medio,Manga curta,yes,31,38
blusa,Manga 3/4,no,22,25
vestido jeans solto medio,Manga longa,yes,18,27
short jeans,unknown,no,33,39
vestido solto longo,Uma manga só,yes,38,50
calça,unknown,yes,36,42
leggings,unknown,no,19,30
vestido jeans solto curto,Manga longa,no,34,36
short jeans,unknown,no,26,36
vestido jeans colado curto,Uma manga só,no,16,22
vestido solto longo,regata,yes,23,40
short,unknown,no,39,41
blazer,Manga longa,no,39,49
t-shirt,unknown,no,34,35
calça mom,unknown,no,26,35
leggings,unknown,no,37,40
vestido solto medio,Manga curta,no,18,23
jaqueta,Manga longa,no,28,40
vestido jeans solto curto,Manga curta,no,23,28
vestido jeans colado medio,regata,yes,17,25
saia,unknown,no,23,31
short,unknown,no,37,40
short jeans,unknown,no,40,44
calça jeans,unknown,no,42,50
calça aladin,unknown,yes,38,44
vestido solto medio,Manga 3/4,no,45,46
sueter,Manga longa,no,32,41
calça skinny,unknown,no,28,35
calça jeans mom,unknown,no,36,50
calça jeans,unknown,no,43,50
blazer,Manga longa,no,40,50
vestido jeans solto medio,regata,no,27,32
saia,unknown,no,36,38
vestido colado longo,Manga longa,yes,17,35
short jeans,unknown,no,36,41
vestido jeans solto medio,regata,no,33,36
vestido jeans colado curto,Manga longa,no,35,37
cropped,Manga curta,no,10,20
calça jeans mom,unknown,yes,19,49
vestido solto medio,regata,no,32,36
vestido solto medio,Uma manga só,yes,17,26
vestido colado longo,Manga curta,no,34,47
vestido colado longo,Manga 3/4,no,38,49
calça aladin,unknown,yes,19,34
vestido colado curto,Uma manga só,yes,26,36
short jeans,unknown,yes,30,44
short,unknown,yes,24,35
vestido jeans solto longo,Manga longa,yes,21,40
calça jeans,unknown,no,26,46
vestido jeans solto longo,Uma manga só,no,15,30
t-shirt,unknown,no,30,31
macacao longo,Manga longa,no,29,40
vestido jeans colado curto,Uma manga só,no,49,50
vestido colado longo,Manga longa,no,34,46
macaquinho,Manga longa,no,36,41
calça,unknown,yes,16,34
calça mom,unknown,no,24,34
cardigan,Manga longa,no,33,39
vestido jeans solto longo,Uma manga só,no,32,45
jaqueta,Manga longa,no,21,35
calça jeans skinny,unknown,no,24,45
calça jeans skinny,unknown,yes,32,50
calça jeans aladin,unknown,no,31,51
saia jeans,unknown,no,32,40
saia jeans,unknown,no,39,43
short jeans,unknown,no,34,41
macaquinho,Manga 3/4,yes,35,43
vestido colado medio,Uma manga só,no,37,39
short,unknown,no,23,31
blazer,Manga longa,no,19,35
vestido jeans colado medio,Manga 3/4,yes,25,34
short,unknown,yes,18,34
macaquinho,regata,no,26,36
calça skinny,unknown,no,27,35
sueter,Manga longa,no,17,32
jaqueta,Manga longa,yes,15,38
vestido colado longo,Manga curta,yes,38,50
vestido solto longo,Manga curta,no,39,50
blusa,Manga 3/4,yes,10,24
vestido jeans colado medio,Manga longa,no,26,30
jaqueta,Manga longa,yes,26,44
vestido solto medio,Manga curta,no,24,29
calça mom,unknown,yes,36,42
vestido solto medio,regata,no,33,36
saia,unknown,yes,24,37
leggings,unknown,no,37,40
vestido jeans solto curto,Uma manga só,no,20,25
blazer,Manga longa,yes,34,50
cardigan,Manga longa,no,28,38
cropped,Manga longa,yes,13,24
vestido solto longo,Manga longa,yes,20,40
leggings,unknown,yes,28,39
blusa,Manga longa,no,12,20
calça jeans wide leg,unknown,no,37,50
short,unknown,no,32,33
saia,unknown,yes,17,35
vestido jeans solto medio,regata,no,22,26
vestido solto longo,Uma manga só,no,38,48
saia jeans,unknown,no,19,30
blusa,Uma manga só,no,27,29
vestido jeans solto curto,regata,no,27,32
cropped,Manga curta,no,26,27
t-shirt,unknown,no,13,20
calça mom,unknown,yes,27,38
vestido colado longo,Manga 3/4,no,16,31
vestido jeans colado medio,Manga longa,no,23,28
jaqueta,Manga longa,no,32,42
leggings,unknown,yes,21,35
calça wide leg,unknown,no,27,36
calça,unknown,no,32,36
saia jeans,unknown,no,37,42
vestido solto longo,Manga 3/4,no,40,50
calça skinny,unknown,no,50,50
calça,unknown,no,37,39
vestido jeans solto medio,Manga longa,no,20,25
macaquinho,Uma manga só,yes,37,46
vestido solto medio,regata,no,43,43
vestido jeans solto medio,Manga longa,no,18,24
blusa,Manga longa,no,14,20
calça jeans,unknown,no,30,50
vestido colado longo,Uma manga só,yes,32,50
calça jeans aladin,unknown,no,24,45
vestido solto longo,regata,no,21,36
cardigan,Manga longa,yes,22,40
calça jeans skinny,unknown,no,42,50
blusa,Uma manga só,no,12,20
vestido solto longo,regata,no,15,30
macacao longo,regata,no,36,46
calça jeans skinny,unknown,no,35,50
vestido jeans solto longo,Uma manga só,no,41,41
calça jeans aladin,unknown,yes,19,48
macacao longo,regata,no,39,49
blusa,Manga 3/4,yes,19,28
saia,unknown,no,36,38
vestido colado longo,Uma manga só,no,37,48
calça skinny,unknown,yes,15,32
blusa,Uma manga só,no,30,31
calça,unknown,no,35,38
blazer,Manga longa,no,16,35
vestido jeans solto curto,Manga curta,no,19,25
macacao longo,Uma manga só,yes,39,50
calça aladin,unknown,no,20,30
saia jeans,unknown,no,16,31
saia,unknown,no,19,30
